SampleID,CA,CT,CG,GT,GA,TA,TT,GG,TG
AL1-P1-S1-16s_S25,0,0,0,1,0,0,1,0,0
AL1-P2-S1-16s_S26,0,0,1,0,0,0,1,0,0
AL1-P6-S1-16s_S30,0,1,0,0,2,0,0,1,0
CO1-P1-S1-16s_S42,0,0,0,1,0,0,0,0,0
CO1-P3-S1-16s_S44,0,1,1,0,1,0,0,0,0
CO1-P4-S1-16s_S45,0,1,0,0,0,0,0,0,0
CO1-P5-S1-16s_S46,1,1,0,1,0,0,0,0,0
CO1-P6-S1-16s_S47,0,0,1,0,0,0,0,0,0
IA1-P1-S1-16s_S1,2,1,2,0,0,0,0,0,0
IA1-P2-S1-16s_S2,0,1,0,0,0,1,0,0,0
IA1-P3-S1-16s_S3,2,2,0,1,0,0,0,1,0
IA1-P4-S1-16s_S4,0,0,0,0,0,0,1,0,0
IA1-P5-S1-16s_S5,2,1,0,0,0,0,1,0,0
IA1-P6-S1-16s_S6,2,1,0,0,0,0,1,0,0
IL1-P3-S1-16s_S80,0,0,1,0,0,0,0,0,1
IL1-P4-S1-16s_S81,0,0,1,0,0,0,0,0,0
IL1-P5-S1-16s_S82,2,1,0,0,0,1,0,0,0
IL1-P6-S1-16s_S83,2,0,0,0,0,1,0,0,0
IN1-P1-S1-16s_S19,1,0,0,1,0,0,1,0,0
IN1-P2-S1-16s_S20,0,0,0,0,1,0,0,0,0
IN1-P4-S1-16s_S22,0,0,0,1,0,0,0,0,0
IN1-P5-S1-16s_S23,1,0,0,0,0,0,0,0,0
IN1-P6-S1-16s_S24,0,0,0,0,0,0,0,0,1
KS1-P2-S1-16s_S110,0,1,0,0,0,0,0,0,0
KS1-P4-S1-16s_S112,0,0,0,0,0,0,1,0,0
KS1-P6-S1-16s_S114,2,0,0,0,0,0,0,0,1
KS2-P2-S1-16s_S128,0,0,1,0,0,0,0,0,0
LA1-P1-S1-16s_S54,0,0,1,0,0,1,0,0,0
LA1-P2-S1-16s_S55,0,1,0,0,1,0,0,0,0
LA1-P3-S1-16s_S56,1,0,0,0,0,0,0,0,0
LA1-P4-S1-16s_S57,1,1,0,0,0,1,1,0,0
LA1-P5-S2-16s_S58,2,0,0,0,0,1,0,0,0
LA1-P6-S2-16s_S59,1,1,0,0,0,0,0,0,0
MI1-P2-S1-16s_S8,0,0,1,0,0,0,0,0,0
MI1-P3-S1-16s_S9,1,0,0,1,0,0,0,0,0
MI1-P4-S1-16s_S10,1,0,0,0,0,0,0,1,0
MI1-P5-S2-16s_S11,0,1,0,0,0,0,0,1,0
MI1-P6-S2-16s_S12,1,0,1,1,1,0,0,0,0
MN1-P2-S1-16s_S152,0,0,0,0,0,0,0,0,1
MN1-P3-S1-16s_S153,1,1,0,0,0,0,0,0,0
MN1-P4-S1-16s_S154,0,1,0,0,0,0,0,0,0
MN1-P6-S1-16s_S156,1,1,0,1,0,0,0,0,0
MO1-P1-S1-16s_S90,0,0,0,0,0,0,0,1,0
MO1-P2-S1-16s_S91,1,0,0,0,0,0,1,0,0
MO1-P3-S1-16s_S93,0,0,2,0,0,1,0,0,0
MO1-P4-S1-16s_S94,0,0,0,0,0,0,0,0,1
MO1-P5-S1-16s_S95,0,0,0,0,0,0,0,0,1
MO1-P6-S1-16s_S96,0,1,0,0,0,0,1,0,0
MS1-P1-S1-16s_S31,0,0,0,0,2,0,0,0,0
MS1-P2-S1-16s_S32,0,0,0,0,0,0,0,1,0
MS1-P3-S1-16s_S157,0,0,0,0,0,0,0,1,0
MS1-P4-S1-16s_S33,0,1,1,0,1,0,0,0,0
MS1-P5-S1-16s_S34,0,0,0,0,0,0,0,1,0
MT1-P1-S1-16s_S139,0,0,0,0,1,0,0,0,0
MT1-P2-S1-16s_S140,1,1,0,0,1,0,0,0,0
MT1-P3-S1-16s_S141,0,0,2,1,0,1,0,0,0
MT1-P4-S1-16s_S142,0,0,0,1,0,0,0,0,0
MT1-P5-S1-16s_S143,1,2,0,0,0,0,0,0,0
MT1-P6-S1-16s_S144,0,2,1,0,0,0,0,0,0
NC1-P1-S1-16s_S66,2,1,0,0,1,1,0,1,1
NC1-P2-S1-16s_S67,0,1,0,0,0,0,1,0,0
NC1-P3-S1-16s_S68,1,0,0,0,0,2,0,0,0
NC1-P4-S1-16s_S69,1,0,0,0,0,1,0,0,1
NC1-P6-S1-16s_S71,0,0,1,1,0,0,0,0,0
ND1-P1-S1-16s_S145,0,0,0,1,0,0,0,0,1
ND1-P2-S1-16s_S146,0,0,0,0,1,0,0,0,0
ND1-P4-S1-16s_S148,0,0,0,0,0,1,0,0,0
ND1-P5-S1-16s_S149,2,0,0,0,0,0,0,0,0
NE1-P1-S1-16s_S115,3,0,0,0,0,0,1,0,0
NE1-P2-S1-16s_S116,1,1,0,1,0,0,0,0,0
NE1-P3-S1-16s_S117,2,0,0,0,2,1,0,0,0
NE1-P4-S1-16s_S118,0,2,0,1,1,0,0,0,0
NE1-P5-S1-16s_S119,0,0,1,0,1,0,0,0,0
NE1-P6-S1-16s_S120,1,0,0,0,0,0,0,0,0
NE2-P1-S1-16s_S133,0,0,0,0,0,1,0,1,0
NE2-P2-S1-16s_S134,1,1,0,1,0,0,0,1,0
NE2-P3-S1-16s_S135,4,1,0,1,1,0,0,0,0
NE2-P4-S1-16s_S136,1,1,1,0,0,0,0,1,0
NE2-P5-S1-16s_S137,0,0,0,1,0,0,0,0,1
NE2-P6-S1-16s_S138,0,2,2,0,1,1,1,0,0
NM1-P1-S1-16s_S36,1,0,1,0,0,0,0,0,0
NM1-P2-S1-16s_S37,0,1,0,1,0,0,0,0,0
NM1-P3-S1-16s_S38,1,0,0,0,0,1,0,0,0
NM1-P4-S1-16s_S39,1,1,2,0,0,1,0,0,0
NM1-P5-S1-16s_S40,1,1,0,0,0,0,1,0,0
NM1-P6-S1-16s_S41,1,0,0,0,0,0,0,0,0
OK1-P1-S2-16s_S48,2,1,1,1,1,0,0,0,0
OK1-P2-S2-16s_S49,1,2,0,1,2,0,0,1,0
OK1-P3-S1-16s_S50,0,2,1,1,0,0,0,0,0
OK1-P4-S1-16s_S51,0,2,0,0,1,0,0,1,0
OK1-P5-S1-16s_S52,0,1,0,1,0,0,0,0,0
OK1-P6-S1-16s_S53,3,0,0,0,1,0,2,0,0
SC1-P1-S1-16s_S97,0,0,0,0,0,0,0,1,0
SC1-P2-S1-16s_S98,1,1,0,0,0,0,0,0,1
SC1-P4-S1-16s_S100,0,0,1,1,1,0,0,0,0
SD1-P1-S1-16s_S121,1,2,0,0,1,0,0,0,1
SD1-P2-S1-16s_S122,1,0,0,0,1,1,1,0,0
SD1-P3-S1-16s_S123,1,0,0,0,0,0,0,0,0
SD1-P4-S1-16s_S124,0,0,1,0,0,0,0,0,0
SD1-P5-S1-16s_S125,1,1,0,0,0,0,0,1,0
SD1-P6-S1-16s_S126,0,1,0,0,0,0,1,0,0
TX1-P2-S1-16s_S61,0,0,0,0,0,0,0,1,0
TX1-P5-S1-16s_S64,1,0,1,0,0,0,0,0,0
TX1-P6-S1-16s_S65,0,0,0,1,0,1,1,1,0
TX2-P1-S1-16s_S72,1,0,0,0,0,0,0,0,0
TX2-P2-S1-16s_S73,0,1,0,0,0,0,0,0,0
TX2-P3-S1-16s_S74,0,0,0,1,0,0,0,0,0
TX2-P4-S1-16s_S75,0,1,1,1,1,0,0,0,0
TX2-P5-S1-16s_S76,0,0,0,0,0,1,0,1,0
TX2-P6-S2-16s_S77,0,0,0,1,1,0,0,0,0
TX3-P1-S1-16s_S84,0,1,0,0,0,0,0,0,1
TX3-P2-S1-16s_S85,0,1,1,0,1,0,0,0,0
TX3-P3-S1-16s_S86,1,1,1,0,0,0,0,0,0
TX3-P4-S1-16s_S87,2,2,0,0,0,0,0,0,0
TX3-P5-S1-16s_S88,1,0,1,0,0,0,0,0,0
TX3-P6-S1-16s_S89,2,2,0,0,0,0,0,0,0
WI1-P1-S1-16s_S13,1,0,0,0,0,0,0,0,0
WI1-P2-S1-16s_S14,0,0,0,1,0,0,0,0,1
WI1-P3-S1-16s_S15,0,0,0,2,0,0,0,0,0
WI1-P4-S2-16s_S16,5,4,0,0,0,2,2,0,1
WI1-P5-S1-16s_S17,0,0,0,0,1,1,0,0,0
WI1-P6-S1-16s_S18,1,1,0,0,0,0,2,0,0