SampleID,TA,GC,CG,TG,AT,GG
CO1-P2-S1-16s_S43,0,1,0,0,0,0
CO1-P4-S1-16s_S45,0,0,0,1,0,1
CO1-P5-S1-16s_S46,0,1,0,0,0,0
CO1-P6-S1-16s_S47,0,1,0,0,0,0
IL1-P3-S1-16s_S80,0,1,0,0,0,0
IL1-P4-S1-16s_S81,2,1,0,0,0,0
IL1-P5-S1-16s_S82,1,1,0,0,0,0
IL1-P6-S1-16s_S83,1,0,0,0,0,0
IN1-P1-S1-16s_S19,2,0,0,0,0,0
IN1-P2-S1-16s_S20,1,1,0,0,1,0
IN1-P3-S1-16s_S21,1,0,0,0,0,0
IN1-P4-S1-16s_S22,0,0,0,1,0,0
IN1-P5-S1-16s_S23,1,1,0,0,0,0
IN1-P6-S1-16s_S24,1,1,0,0,0,0
KS1-P5-S1-16s_S113,1,0,0,0,0,0
KS2-P1-S1-16s_S127,0,0,1,0,0,0
KS2-P2-S1-16s_S128,1,0,1,0,0,0
LA1-P1-S1-16s_S54,2,0,0,1,0,0
LA1-P2-S1-16s_S55,1,0,0,0,0,0
LA1-P6-S2-16s_S59,1,0,0,0,0,0
MI1-P2-S1-16s_S8,0,1,0,0,0,0
MI1-P3-S1-16s_S9,0,1,0,0,1,0
MI1-P4-S1-16s_S10,1,0,0,1,0,0
MI1-P5-S2-16s_S11,1,0,0,0,0,0
MI1-P6-S2-16s_S12,0,1,0,0,0,0
MN1-P4-S1-16s_S154,0,0,1,0,0,0
MN1-P5-S1-16s_S155,0,0,0,0,1,0
MN1-P6-S1-16s_S156,1,0,0,0,0,0
MO1-P6-S1-16s_S96,0,0,0,1,0,0
MS1-P1-S1-16s_S31,0,0,0,1,0,0
MS1-P3-S1-16s_S157,1,0,0,0,0,0
MS1-P4-S1-16s_S33,1,0,0,1,0,0
MS1-P5-S1-16s_S34,0,0,0,1,0,0
MS1-P6-S1-16s_S35,2,1,0,1,0,0
MT1-P2-S1-16s_S140,0,1,0,0,0,0
MT1-P3-S1-16s_S141,0,1,0,0,0,0
MT1-P4-S1-16s_S142,0,1,0,0,0,0
MT1-P5-S1-16s_S143,0,1,0,0,0,0
MT1-P6-S1-16s_S144,1,1,0,0,0,0
NC1-P1-S1-16s_S66,2,0,0,1,1,0
NC1-P2-S1-16s_S67,1,0,0,0,0,0
NC1-P4-S1-16s_S69,1,0,0,0,0,0
NC1-P5-S1-16s_S70,1,0,0,0,0,0
NC1-P6-S1-16s_S71,1,0,0,0,0,0
ND1-P1-S1-16s_S145,0,1,0,0,0,0
ND1-P4-S1-16s_S148,1,0,0,0,0,0
ND1-P5-S1-16s_S149,0,1,0,0,0,0
NE1-P1-S1-16s_S115,1,0,0,0,0,0
NE1-P3-S1-16s_S117,1,1,0,0,0,0
NE1-P5-S1-16s_S119,0,0,1,0,0,0
NE1-P6-S1-16s_S120,1,0,0,0,0,0
NE2-P2-S1-16s_S134,0,1,0,0,0,0
NE2-P4-S1-16s_S136,1,0,0,0,0,0
NE2-P6-S1-16s_S138,1,1,0,0,0,0
NM1-P5-S1-16s_S40,1,0,0,0,0,0
NM1-P6-S1-16s_S41,0,0,1,0,0,0
OK1-P1-S2-16s_S48,1,1,0,0,0,0
OK1-P2-S2-16s_S49,1,0,0,0,0,0
OK1-P6-S1-16s_S53,0,1,0,0,0,0
SC1-P1-S1-16s_S97,0,0,0,1,1,0
SC1-P2-S1-16s_S98,1,1,2,1,1,0
SC1-P3-S1-16s_S99,1,0,1,0,0,0
SC1-P4-S1-16s_S100,0,0,1,0,0,0
SC1-P5-S1-16s_S101,2,1,1,0,0,0
SC1-P6-S1-16s_S102,2,0,0,0,0,0
SD1-P1-S1-16s_S121,0,0,1,0,0,0
SD1-P2-S1-16s_S122,0,0,0,0,1,0
SD1-P3-S1-16s_S123,1,1,0,0,0,0
SD1-P5-S1-16s_S125,0,0,1,0,0,0
TX1-P2-S1-16s_S61,0,0,0,2,0,0
TX1-P4-S1-16s_S63,0,1,0,0,0,0
TX1-P5-S1-16s_S64,0,1,0,0,0,0
TX1-P6-S1-16s_S65,1,0,0,0,0,0
TX2-P2-S1-16s_S73,1,0,0,0,0,0
TX2-P3-S1-16s_S74,2,0,1,0,0,0
TX2-P4-S1-16s_S75,0,1,0,0,0,0
TX2-P5-S1-16s_S76,1,0,0,0,0,0
TX2-P6-S2-16s_S77,1,0,0,0,0,0
TX3-P6-S1-16s_S89,0,0,1,0,0,0
WI1-P1-S1-16s_S13,1,1,0,0,0,0
WI1-P2-S1-16s_S14,1,0,0,0,0,0
WI1-P3-S1-16s_S15,1,1,0,0,1,0
WI1-P4-S2-16s_S16,0,0,1,0,0,0
WI1-P5-S1-16s_S17,2,1,1,0,0,0
WI1-P6-S1-16s_S18,1,0,1,0,0,0